,state,2021
0,Alabama,5039877.0
1,Alaska,732673.0
2,Arizona,7276316.0
3,Arkansas,3025891.0
4,California,39237836.0
5,Colorado,5812069.0
6,Connecticut,3605597.0
7,Delaware,1003384.0
8,Florida,21781128.0
9,Georgia,10799566.0
10,Hawaii,1441553.0
11,Idaho,1900923.0
12,Illinois,12671469.0
13,Indiana,6805985.0
14,Iowa,3193079.0
15,Kansas,2934582.0
16,Kentucky,4509394.0
17,Louisiana,4624047.0
18,Maine,1372247.0
19,Maryland,6165129.0
20,Massachusetts,6984723.0
21,Michigan,10050811.0
22,Minnesota,5707390.0
23,Mississippi,2949965.0
24,Missouri,6168187.0
25,Montana,1104271.0
26,Nebraska,1963692.0
27,Nevada,3143991.0
28,New Hampshire,1388992.0
29,New Jersey,9267130.0
30,New Mexico,2115877.0
31,New York,19835913.0
32,North Carolina,10551162.0
33,North Dakota,774948.0
34,Ohio,11780017.0
35,Oklahoma,3986639.0
36,Oregon,4246155.0
37,Pennsylvania,12964056.0
38,Rhode Island,1095610.0
39,South Carolina,5190705.0
40,South Dakota,895376.0
41,Tennessee,6975218.0
42,Texas,29527941.0
43,Utah,3337975.0
44,Vermont,645570.0
45,Virginia,8642274.0
46,Washington,7738692.0
47,West Virginia,1782959.0
48,Wisconsin,5895908.0
49,Wyoming,578803.0
